#Transcript_ID	GFF_annotation	HHPred_annotation
Smp_000020.1	Protein O-GlcNAcase	Ogoga, hyaluronoglucosaminidase
Smp_188580.1	Peroxisome biogenesis factor 10	ARNO(375-400)
Smp_188900.1	Fructose-1,6-bisphosphatase class 1	Nucleoporin NUP159
Smp_189720.1	Putative ankyrin repeat protein L675	Regulatory peptide
Smp_189830.1	WD repeat-containing protein 88	Platelet-activating factor acetylhydrolase IB alpha subunit
Smp_189960.1	Nuclear pore complex protein Nup153	Nuclear pore complex protein NUP153
Smp_190020.1	Glucose-induced degradation protein 4 homolog	50S ribosomal protein L31, 50S ribosomal protein L25
Smp_190020.2	Glucose-induced degradation protein 4 homolog	50S ribosomal protein L31, 50S ribosomal protein L25
Smp_190140.1	Radial spoke head 1 homolog	Histone H3 lysine 4 specific methyltransferase
Smp_190390.1	3-octaprenyl-4-hydroxybenzoate carboxy-lyase	BEKM-1 toxin
Smp_190540.1	Vacuolar protein sorting-associated protein 13B	Natural scorpion peptide P01
Smp_190710.1	Putative defense protein 3	Guanylate cyclase soluble subunit beta-1
Smp_190740.1	Unconventional myosin-X	Dual specificity protein kinase TTK
Smp_190770.1	LanC-like protein 1	LANC-like protein 1
Smp_190940.1	Teneurin-4	Major merozoite surface protein
Smp_191160.1	H/ACA ribonucleoprotein complex non-core subunit NAF1	NAF1
Smp_191210.1	Restin homolog	 26 3pie_A 5'->3' exoribonuclease   38.9      11 0.00032   44.7   0.0   69   81-158  1064-1140(1155)
Smp_191210.2	CAP-Gly domain-containing linker protein 2	 23 3pie_A 5'->3' exoribonuclease   51.5       5 0.00015   40.7   0.0   69   81-158  1064-1140(1155)
Smp_191210.3	Restin homolog	 28 3pie_A 5'->3' exoribonuclease   37.6      11 0.00034   44.6   0.0   69   81-158  1064-1140(1155)
Smp_191310.1	Histone deacetylase 4	HD7A, histone deacetylase 7A
Smp_191360.1	GTPase Obg	SPO0B-associated GTP-binding protein
Smp_191400.1	TATA box-binding protein-associated factor RNA polymerase I subunit B	BbcrAsp-1
Smp_191670.1	Phospholipid-transporting ATPase IB	TRAN protein
Smp_191870.1	serine:threonine protein kinase haspin	Serine/threonine-protein kinase haspin
Smp_191870.2	Serine/threonine-protein kinase haspin	Serine/threonine-protein kinase haspin
Smp_191870.3	Serine/threonine-protein kinase haspin	Serine/threonine-protein kinase haspin
Smp_191910.1	Putative eggshell protein	GAG polyprotein capsid protein P27
Smp_191970.1	Alpha-2A adrenergic receptor	Bimax1 peptide
Smp_192010.1	Putative defense protein 3	Guanylate cyclase soluble subunit beta-1
Smp_192020.1	tRNA modification GTPase MnmE	Nucleoside diphosphate kinase
Smp_192040.1	Mycophenolic acid acyl-glucuronide esterase, mitochondrial	TOLL-interacting protein
Smp_192050.1	Uncharacterized protein YkuO	Uncharacterized protein
Smp_192230.1	Adhesion G-protein coupled receptor F2	GBP, growth-blocking peptide, long form
Smp_192400.1	Hypothetical protein	Uracil-DNA glycosylase TM0511
Smp_192570.1	Triple functional domain protein	Proteasome subunit alpha
Smp_192610.1	Hypothetical protein	Appetite-regulating hormone, obestatin
Smp_192670.1	Serine-threonine kinase receptor-associated protein	GT-beta
Smp_192780.1	Protein GrpE	Hypothetical protein YDFO
Smp_193150.1	Envelopment polyprotein	Microtubule-associated protein RP/EB family member 1
Smp_193150.2	Serine/threonine-protein kinase Nek4	Pheromone ER-10
Smp_193400.1	Putative aryl-alcohol dehydrogenase AAD3	Endoglycoceramidase II
Smp_193440.1	Cell division cycle and apoptosis regulator protein 1	E1B-55KDA-associated protein 5 isoform C
Smp_193610.1	FMRFamide receptor	Adenosine receptor A2A/soluble cytochrome B562 CH
Smp_193680.1	venom allergen-like (VAL) 1 protein	Venom allergen-like (Val) 4 protein
Smp_193750.1	Protein ABHD11	Esterase YBFF
Smp_193750.2	Protein ABHD11	Esterase YBFF
Smp_193750.3	Protein ABHD11	Esterase YBFF
Smp_193800.1	Sodium-dependent dopamine transporter	Transporter
Smp_193940.1	Vacuolar protein sorting-associated protein 13B	Guanylate cyclase soluble subunit beta-1
Smp_194030.1	G-protein-signaling modulator 2	G-protein-signaling modulator 2
Smp_194030.2	G-protein-signaling modulator 2	PINS homolog, G-protein-signaling modulator 2
Smp_194040.1	Hypothetical protein	SLYD, peptidyl-prolyl CIS-trans isomerase
Smp_194050.1	Hypothetical protein	CAP-Gly domain-containing linker protein 1
Smp_194070.1	Non-capsid protein NS-1	DNA replication protein
Smp_194090.1	subfamily S1A unassigned peptidase (S01 family)	Kininogenin, plasma kallikrein, light chain, fletcher factor
Smp_194090.2	Suppressor of tumorigenicity 14 protein homolog	Urokinase-type plasminogen activator
Smp_194090.3	Chymotrypsin B	Kininogenin, plasma kallikrein, light chain, fletcher factor
Smp_194100.1	Trifunctional nucleotide phosphoesterase protein YfkN	5'-nucleotidase
Smp_194130.1	Plexin domain-containing protein 1	Hypothetical protein
Smp_194160.1	Leucine--tRNA ligase, cytoplasmic	Leucyl-tRNA synthetase
Smp_194160.2	Leucine--tRNA ligase, cytoplasmic	Leucyl-tRNA synthetase
Smp_194170.1	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 5	Serine/threonine-protein kinase MTOR
Smp_194240.1	SPRY domain-containing protein 7	KIAA1787 protein
Smp_194270.1	Casein kinase I isoform alpha	Casein kinase I-like
Smp_194280.1	50S ribosomal protein L17	Protein PB1-F2
Smp_194290.1	N-acetyl-gamma-glutamyl-phosphate reductase	Myelin basic protein
Smp_194370.1	Vacuolar protein sorting-associated protein 11 homolog	Deltex protein 2
Smp_194370.2	Vacuolar protein sorting-associated protein 11 homolog	Deltex protein 2
Smp_194380.1	Glycoprotein-N-acetylgalactosamine 3-beta-galactosyltransferase 1	Beta-1,3-N-acetylglucosaminyltransferase manic FR
Smp_194390.1	Suppressor of cytokine signaling 7	Suppressor of cytokine signaling 2
Smp_194410.1	Hairy/enhancer-of-split related with YRPW motif protein 2	Transcription factor HES-1
Smp_194420.1	Hypothetical protein	PHL P 3 allergen
Smp_194430.1	Patronin	Riken cDNA 2310057J16 protein
Smp_194520.1	Histone acetyltransferase KAT8	Probable histone acetyltransferase MYST1
Smp_194520.2	Histone acetyltransferase KAT8	Probable histone acetyltransferase MYST1
Smp_194520.3	Histone acetyltransferase KAT8	Probable histone acetyltransferase MYST1
Smp_194520.4	Males-absent on the first protein	Probable histone acetyltransferase MYST1
Smp_194560.1	Small VCP/p97-interacting protein	Programmed cell death protein 5
Smp_194570.1	WD repeat and SOCS box-containing protein 1	Actin-related protein 2/3 complex subunit 1
Smp_194570.2	WD repeat and SOCS box-containing protein 1	ESG1, transducin-like enhancer protein 1
Smp_194580.1	BTB/POZ domain-containing adapter for CUL3-mediated RhoA degradation protein 3	Potassium voltage-gated channel subfamily D membe
Smp_194590.1	Vacuolar protein sorting-associated protein 52 homolog	Exocytosis protein
Smp_194610.1	cAMP-dependent protein kinase catalytic subunit PRKX	RAC-alpha serine/threonine-protein kinase
Smp_194620.1	tRNA (adenine(58)-N(1))-methyltransferase catalytic subunit TRMT61A	SAM-dependent O-methyltransferase
Smp_194650.1	Tetratricopeptide repeat protein 37	SKI3, superkiller protein 3
Smp_194680.1	DNA-(apurinic or apyrimidinic site) lyase 1	Hypothetical KIAA1002 protein
Smp_194700.1	Cyclic nucleotide-gated cation channel alpha-3	Hyperpolarization-activated (IH) channel
Smp_194710.1	Potassium voltage-gated channel subfamily A member 5	Paddle chimera voltage gated potassium channel KV
Smp_194720.1	alpha beta hydrolase domain-containing protein	Protein NDRG2, protein NDR2
Smp_194730.1	Nuclear pore complex protein Nup160	Nucleoporin NUP120
Smp_194740.1	Sex peptide receptor	Adenosine receptor A2A/soluble cytochrome B562 CH
Smp_194750.1	Protein TBATA	X-Pro dipeptidase
Smp_194770.1	Taurocyamine kinase	Arginine kinase, AK
Smp_194780.1	Hemicentin-2	MAST/stem cell growth factor receptor
Smp_194800.1	Band 4.1-like protein 2	Protein 4.1
Smp_194800.2	Band 4.1-like protein 2	Protein 4.1
Smp_194800.3	Band 4.1-like protein 2	Protein 4.1
Smp_194820.1	DNA repair and recombination protein RAD54-like (Fragment)	Similar to RAD54-like
Smp_194820.2	DNA repair and recombination protein RAD54-like (Fragment)	Similar to RAD54-like
Smp_194830.1	Potassium channel toxin gamma-KTx 2.2	60S ribosomal protein L36
Smp_194840.1	Epididymal secretory protein E1	EPV20, BNPC2, epididymal secretory protein E1
Smp_194870.1	Histone H4	Histone H3-like centromeric protein CSE4, protein histone H4
Smp_194900.1	Intraflagellar transport protein 122 homolog	Coatomer beta'-subunit
Smp_194910.1	Aliphatic sulfonates import ATP-binding protein SsuB	NK-lysin
Smp_194920.1	T-cell immunomodulatory protein	YENB
Smp_194930.1	TBC1 domain family member 20	TBC1 domain family member 20
Smp_194940.1	Prostamide/prostaglandin F synthase	Thiol peroxidase, peroxiredoxin Q
Smp_194940.2	Prostamide/prostaglandin F synthase	Thiol peroxidase, peroxiredoxin Q
Smp_194970.1	25 kDa integral membrane protein	CD63-like protein SM-TSP-2
Smp_194980.1	25 kDa integral membrane protein	CD63-like protein SM-TSP-2
Smp_195060.1	DNA ligase	DNA polymerase ETA
Smp_195060.2	DNA ligase	DNA polymerase ETA
Smp_195070.1	Hypothetical protein	Peptidyl-tRNA hydrolase domain protein
Smp_195070.2	Succinate dehydrogenase assembly factor 2, mitochondrial	Peptidyl-tRNA hydrolase domain protein
Smp_195080.1	Cofilin/actin-depolymerizing factor homolog	Cofilin
Smp_195090.1	tegument-allergen-like protein (TAL5)	Dynein light chain motor protein
Smp_195190.1	13 kDa tegumental antigen Sm13	Sensory rhodopsin II transducer
Smp_196020.1	GPI transamidase component PIG-S	Hypothetical protein BH3618
Smp_196030.1	Beta-chimaerin	N-chimerin
Smp_196030.2	Phosphatidylinositol 3-kinase regulatory subunit alpha	NISH2 P85alpha
Smp_196030.3	Phosphatidylinositol 3-kinase regulatory subunit alpha	NISH2 P85alpha
Smp_196040.1	SHC-transforming protein 3	SHC transforming protein
Smp_196040.2	SHC-transforming protein 3	SHC transforming protein
Smp_196040.3	SHC-transforming protein 3	SHC adaptor protein
Smp_196090.1	Kinase D-interacting substrate of 220 kDa	Neurabin-1
Smp_196110.1	Ferric-chelate reductase 1	Probable transmembrane ascorbate ferrireductase 2
Smp_196140.1	Selenoprotein W	Selenoprotein W
Smp_196150.1	Selenoprotein O	Endoglucanase E
Smp_196150.2	Selenoprotein O	Aminoglycoside phosphotransferase
Smp_196160.1	Probable isocitrate dehydrogenase [NAD] subunit alpha, mitochondrial	Isocitrate dehydrogenase [NAD] subunit 2
Smp_196220.1	E3 ubiquitin-protein ligase Hakai	E3 ubiquitin-protein ligase hakai
Smp_196230.1	BAG family molecular chaperone regulator 1	BAG-family molecular chaperone regulator-1
Smp_196230.2	BAG family molecular chaperone regulator 1	BAG-family molecular chaperone regulator-1
Smp_196230.3	BAG family molecular chaperone regulator 1	BAG family molecular chaperone regulator 1
Smp_196260.1	Protein C3orf33	P100 CO-activator tudor domain
Smp_196290.1	Ubiquitin carboxyl-terminal hydrolase 48	Ubiquitin carboxyl-terminal hydrolase 7
Smp_196290.2	Ubiquitin carboxyl-terminal hydrolase 48	Ubiquitin carboxyl-terminal hydrolase 6
Smp_196290.3	Ubiquitin carboxyl-terminal hydrolase 48	Ubiquitin carboxyl-terminal hydrolase 7
Smp_196300.1	FERM, RhoGEF and pleckstrin domain-containing protein 2	FERM, rhogef and pleckstrin domain-containing Pro
Smp_196300.2	FERM, RhoGEF and pleckstrin domain-containing protein 2	FERM, rhogef and pleckstrin domain-containing Pro
Smp_196370.1	Potassium voltage-gated channel subfamily H member 4	MLL3241 protein
Smp_196370.2	Potassium voltage-gated channel subfamily H member 4	MLL3241 protein
Smp_196400.1	Hypothetical protein	DEP domain-containing protein 1
Smp_196400.2	Hypothetical protein	DEP domain-containing protein 1
Smp_196410.1	Dachshund homolog 1	Dachshund
Smp_196480.1	Small integral membrane protein 15	CT398
Smp_196510.1	Ubiquitin recognition factor in ER-associated degradation protein 1	Ubiquitin fusion degradation protein 1
Smp_196600.1	BTB/POZ domain-containing protein KCTD3	Potassium voltage-gated channel subfamily A membe
Smp_196600.2	BTB/POZ domain-containing protein KCTD3	Coatomer subunit beta'
Smp_196620.1	Glycerophosphodiester phosphodiesterase domain-containing protein 1	Glycerophosphodiester phosphodiesterase
Smp_196690.1	CTD small phosphatase-like protein 2	RNA polymerase II subunit A C-terminal domain PHO
Smp_196700.1	Bardet-Biedl syndrome 2 protein homolog	A-specific ribonuclease subunit PAN2
Smp_196700.2	Bardet-Biedl syndrome 2 protein homolog	A-specific ribonuclease subunit PAN2
Smp_196700.3	Bardet-Biedl syndrome 2 protein homolog	A-specific ribonuclease subunit PAN2
Smp_196790.1	Methionine-R-sulfoxide reductase B3, mitochondrial	MSRB2, methionine-R-sulfoxide reductase B2, mitochondria
Smp_196790.2	Methionine-R-sulfoxide reductase B3, mitochondrial	Peptide methionine sulfoxide reductase MSRB
Smp_196810.1	Dihydropyrimidinase-related protein 5	Dihydropyrimidinase-related protein 3
Smp_196810.2	Dihydropyrimidinase-related protein 5	Dihydropyrimidinase-related protein 3
Smp_196840.1	Collagen alpha-2(I) chain	Collagen I alpha 1
Smp_196840.2	Collagen alpha-2(I) chain	Collagen I alpha 1
Smp_196840.3	Collagen alpha-2(I) chain	Procollagen III, collagen alpha-1(III) chain
Smp_196880.1	Arf-GAP with SH3 domain, ANK repeat and PH domain-containing protein 1	PYK2-associated protein beta
Smp_196880.2	Arf-GAP with SH3 domain, ANK repeat and PH domain-containing protein 1	PYK2-associated protein beta
Smp_196900.1	Cohesin subunit SA-2	TBC1 domain family member 7
Smp_196910.1	Protein KTI12 homolog	L-seryl-tRNA(SEC) kinase
Smp_196920.1	Neogenin	Contactin 4, axcam, BIG-2
Smp_196920.2	Immunoglobulin superfamily member 10	NCAM, protein (neural cell adhesion molecule)
Smp_196950.1	One cut domain family member 2	Hepatocyte nuclear factor 6
Smp_196950.2	One cut domain family member 3	Hepatocyte nuclear factor 6
Smp_197010.1	Coiled-coil domain-containing protein 18	LUNG surfactant protein C
Smp_197070.1	Kinesin-like protein KIF6	Kinesin, kinesin heavy chain
Smp_197070.2	Kinesin-like protein KIF6	Kinesin, kinesin heavy chain
Smp_197150.1	High affinity cGMP-specific 3',5'-cyclic phosphodiesterase 9A	High affinity CGMP-specific 3',5'-cyclic phosphod 9A
Smp_197170.1	Isoleucine--tRNA ligase	Karilysin protease
Smp_197180.1	Apoptosis inhibitor 5	Apoptosis inhibitor 5
Smp_197200.1	Hypothetical protein	Protein CPN_0803/CP_1068/CPJ0803/CPB0832
Smp_197230.1	Adenylate kinase 8	Adenylate kinase
Smp_197230.2	Adenylate kinase 8	Adenylate kinase
Smp_197370.1	Collagen alpha-2(I) chain	Collagen I alpha 2
Smp_197390.1	Disintegrin and metalloproteinase domain-containing protein 10 (Fragment)	ADAM 10
Smp_197390.2	Disintegrin and metalloproteinase domain-containing protein 10	Coagulation factor X-activating enzyme light CHAI
Smp_197390.3	Disintegrin and metalloproteinase domain-containing protein 10	Coagulation factor X-activating enzyme light CHAI
Smp_197480.1	Protein ABHD18	Carboxyl esterase NP
Smp_197480.2	Protein ABHD18	Hypothetical protein TT1662
Smp_197480.3	Protein ABHD18	Carboxyl esterase NP
Smp_197540.1	Protein LMBR1L	Protease NS2-3
Smp_197640.1	Sodium leak channel non-selective protein	Navrh, ION transport protein
Smp_197640.2	Sodium leak channel non-selective protein	Navrh, ION transport protein
Smp_197640.3	Sodium leak channel non-selective protein	Navrh, ION transport protein
Smp_197690.1	Putative BTB/POZ domain-containing protein At5g13600	Zinc finger and BTB domain-containing protein 7A
Smp_197700.1	5-hydroxytryptamine receptor	Chimera protein of human 5-hydroxytryptamine RECE and E. coli soluble cytochrome...
Smp_197730.1	Hypothetical protein	60S ribosomal protein L7(A)
Smp_197730.2	RNA-binding protein 24-B	AUF1, heterogeneous nuclear ribonucleoprotein D0
Smp_197730.3	Hypothetical protein	60S ribosomal protein L7(A)
Smp_197860.1	Severin	Horse plasma gelsolin
Smp_197880.1	DNA replication ATP-dependent helicase/nuclease DNA2	DNA-binding protein smubp-2
Smp_197950.1	Hypothetical protein	Llama antibody F12
Smp_198020.1	Catechol O-methyltransferase domain-containing protein 1	Caffeoyl-COA O-methyltransferase
Smp_198020.2	Catechol O-methyltransferase domain-containing protein 1	O-methyltransferase
Smp_198090.1	Hypothetical protein	Zinc finger protein HRX
Smp_198100.1	Cytochrome c biogenesis protein CcsA	Uncharacterized protein
Smp_198170.1	Alanine--tRNA ligase	Syntaxin-12
Smp_198190.1	ELMO domain-containing protein 2	Phosphomannomutase
Smp_198190.2	ELMO domain-containing protein 2	Phosphomannomutase
Smp_198290.1	Telomere repeat-binding factor 4	Hypothetical protein 4930532D21RIK
Smp_198330.1	S phase cyclin A-associated protein in the endoplasmic reticulum	Zinc finger protein 346
Smp_198360.1	Ankyrin repeat and death domain-containing protein 1A (Fragment)	Ankyrin
Smp_198380.1	Argonaute	Protein argonaute-1
Smp_198420.1	Eukaryotic translation initiation factor 6	EIF6, translation initiation factor EIF-6, putative FAM protein
Smp_198520.1	Transcription initiation factor TFIID subunit 8	TFIID TBP associated factor 42
Smp_198530.1	Cleft lip and palate transmembrane protein 1	Hypothetical protein ORF239
Smp_198560.1	Phosphate transport system permease protein PstA	Claudin-15
Smp_198590.1	Kinesin-related protein 1	Kinesin-like protein KIF1A, kinesin heavy chain isoform 5C
Smp_198590.2	Kinesin-like protein KIF28P	Nckin3-434, related to kinesin-like protein KIF1C
Smp_198660.1	Hypothetical protein	Peroxisomal biogenesis factor 19
Smp_198670.1	Histone acetyltransferase KAT7	Probable histone acetyltransferase MYST1
Smp_198680.1	Protein unc-45 homolog B	Protein UNC-45, UNC-45
Smp_198680.2	Protein unc-45 homolog A	Protein UNC-45, UNC-45
Smp_198730.1	Uncharacterized protein C119.16c	HSC70-interacting protein
Smp_198750.1	Pinin	RNA polymerase II-associated factor 1 homolog, LI polymerase-associated protein LEO1...
Smp_198790.1	DNA polymerase epsilon subunit 3	Chrac-14
Smp_198800.1	Mucolipin-3	Transient receptor potential cation channel subfa member 1
Smp_198800.2	Mucolipin-3	Transient receptor potential cation channel subfa member 1
Smp_198850.1	Vacuolar-sorting protein SNF8	Vacuolar-sorting protein SNF8
Smp_198850.2	Vacuolar-sorting protein SNF8	Vacuolar-sorting protein SNF8
Smp_198890.1	30S ribosomal protein S13	Hemoglobin subunit beta
Smp_198920.1	RNases MRP/P 32.9 kDa subunit	RNAse P protein PH1771P
Smp_198930.1	Hypothetical protein	Afadin, AF-6 protein
Smp_198940.1	Probable tRNA N6-adenosine threonylcarbamoyltransferase, mitochondrial	Glycoprotease, O-sialoglycoprotein endopeptidase/protein kinase
Smp_198940.2	Probable tRNA N6-adenosine threonylcarbamoyltransferase, mitochondrial	Glycoprotease, O-sialoglycoprotein endopeptidase/protein kinase
Smp_198940.3	Probable tRNA N6-adenosine threonylcarbamoyltransferase, mitochondrial	Glycoprotease, O-sialoglycoprotein endopeptidase/protein kinase
